"year","month","best_vessel_class","eez_id","eez_iso3","foreign_kilowats","total_kilowats","local_kilowats","prop_kilowats_foreign","foreign_hours","total_hours","local_hours","prop_hours_foreign","date","nino34anom","nino34anom_l1","nino34anom_l2","status_c","area","status"
2012,1,"drifting_longlines",8316,"FSM",49428.2544900062,49428.2544900062,0,1,60.2431944444444,60.2431944444444,0,1,2012-01-01,-0.93,-1.05,-1.09,"WA",3009378260978.68,FALSE
2012,1,"drifting_longlines",8317,"NRU",569.825,569.825,0,1,0.766666666666667,0.766666666666667,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",308419797512.925,TRUE
2012,1,"drifting_longlines",8318,"MHL",1017267.80689832,1017267.80689832,0,1,1381.44361111111,1381.44361111111,0,1,2012-01-01,-0.93,-1.05,-1.09,"WA",2003385982318.61,FALSE
2012,1,"drifting_longlines",8347,"MOZ",300015.455238056,300015.455238056,0,1,408.084305555556,408.084305555556,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",565702762240.776,TRUE
2012,1,"drifting_longlines",8348,"MDG",529901.993597152,529901.993597152,0,1,769.788194444444,769.788194444444,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",1195434752320.78,TRUE
2012,1,"drifting_longlines",8362,"CPV",208552.159343395,208552.159343395,0,1,270.086944444444,270.086944444444,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",802218311651.587,TRUE
2012,1,"drifting_longlines",8369,"MRT",18440.6495875,18440.6495875,0,1,35.9445833333333,35.9445833333333,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",173029180922.32,TRUE
2012,1,"drifting_longlines",8396,"ZAF",4810.26875,4810.26875,0,1,6.54458333333333,6.54458333333333,0,1,2012-01-01,-0.93,-1.05,-1.09,"WA",1070740280302.53,FALSE
2012,1,"drifting_longlines",8440,"PYF",8989.79518055556,8989.79518055556,0,1,11.9629166666667,11.9629166666667,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",4768966392518.57,TRUE
2012,1,"drifting_longlines",8441,"KIR",2795231.23866887,2795231.23866887,0,1,2985.54625,2985.54625,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",1638950840345.37,TRUE
2012,1,"drifting_longlines",8450,"KIR",651120.653111111,930580.168792778,279459.515681667,0.69969323970851,771.433888888889,1005.71194444444,234.278055555556,0.767052527466032,2012-01-01,-0.93,-1.05,-1.09,"TE",744633577719.406,TRUE
2012,1,"drifting_longlines",8488,"KIR",4319410.19678065,4319410.19678065,0,1,4873.65805555556,4873.65805555556,0,1,2012-01-01,-0.93,-1.05,-1.09,"TE",1052397428817.25,TRUE
2012,1,"trawlers",5668,"NLD",5342.19666666667,263351.407908963,258009.211242296,0.0202854304409619,4.84333333333333,1144.40138888889,1139.55805555556,0.00423219805599483,2012-01-01,-0.93,-1.05,-1.09,"WA",65777139693.1838,FALSE
2012,1,"trawlers",5674,"DNK",16983.0656944444,374676.865215995,357693.799521551,0.0453272333338595,56.9723611111111,1239.58486111111,1182.6125,0.0459608397121303,2012-01-01,-0.93,-1.05,-1.09,"WA",107921891301.475,FALSE
2012,1,"trawlers",5676,"FIN",6896.64305555556,6896.64305555556,0,1,3.39736111111111,3.39736111111111,0,1,2012-01-01,-0.93,-1.05,-1.09,"WA",86287487915.5586,FALSE
2012,1,"trawlers",5680,"ISL",357198.447193774,426626.480431159,69428.0332373852,0.837262719446717,143.229722222222,160.46,17.2302777777778,0.892619482875621,2012-01-01,-0.93,-1.05,-1.09,"WA",760163735084.72,FALSE
